"Benchmark","Proof","Length","RP(p)","LU(RPI(p))","RPI(LU(p))","LU(RPI(p))/RP(p)"
"AIM","50-2_0-no-4",48,0.063,0.104,0.104,1.666666666666720
"AIM","50-1_6-no-4",49,0.041,0.163,0.163,4.000000000000050
"AIM","100-2_0-no-1",49,0.041,0.245,0.245,5.999999999999950
"SSA","6288-047",51,0.000,0.039,0.039,
"AIM","50-2_0-no-1",59,0.034,0.153,0.169,4.500000000000090
"AIM","50-1_6-no-1",61,0.115,0.180,0.213,1.571428571428520
"AIM","50-2_0-no-2",67,0.030,0.075,0.075,2.499999999999980
"AIM","50-1_6-no-3",68,0.015,0.059,0.103,4.000000000000070
"AIM","100-2_0-no-3",70,0.071,0.229,0.229,3.200000000000040
"AIM","50-1_6-no-2",89,0.090,0.135,0.135,1.500000000000030
"AIM","100-2_0-no-4",89,0.000,0.045,0.045,
"AIM","50-2_0-no-3",94,0.064,0.191,0.106,3.000000000000010
"AIM","200-2_0-no-3",95,0.021,0.084,0.105,4.000000000000100
"AIM","100-2_0-no-2",105,0.019,0.067,0.067,3.500000000000030
"AIM","200-2_0-no-4",108,0.028,0.139,0.056,5.000000000000000
"AIM","200-1_6-no-4",111,0.018,0.072,0.045,4.000000000000000
"AIM","100-1_6-no-4",115,0.026,0.096,0.096,3.666666666666710
"AIM","100-1_6-no-1",119,0.042,0.143,0.143,3.399999999999940
"AIM","200-2_0-no-2",123,0.024,0.122,0.057,5.000000000000210
"AIM","100-1_6-no-3",144,0.007,0.021,0.021,3.000000000000140
"AIM","200-2_0-no-1",146,0.027,0.096,0.096,3.499999999999940
"AIM","100-1_6-no-2",151,0.205,0.238,0.046,1.161290322580660
"AIM","200-1_6-no-1",151,0.099,0.225,0.225,2.266666666666690
"AIM","200-1_6-no-2",208,0.034,0.067,0.067,2.000000000000000
"AIM","200-1_6-no-3",263,0.228,0.266,0.316,1.166666666666650
"BF","2670-001",370,0.000,0.016,0.016,
"BF","1355-638",460,0.000,0.046,0.046,
"BF","1355-075",657,0.002,0.035,0.035,22.999999999995400
"Pret","60_25",720,0.015,0.038,0.040,2.454545454545420
"Pret","60_40",720,0.015,0.038,0.040,2.454545454545420
"Pret","60_60",720,0.015,0.038,0.040,2.454545454545420
"Pret","60_75",720,0.015,0.038,0.040,2.454545454545420
"Dubois",20,1014,0.015,0.037,0.037,2.533333333333350
"Dubois",25,1147,0.070,0.083,0.083,1.187500000000000
"SSA","0432-003",1249,0.149,0.154,0.192,1.032258064516130
"Dubois",30,1828,0.021,0.063,0.064,2.974358974359020
"Dubois",24,2540,0.006,0.018,0.019,2.875000000000020
"Dubois",28,2937,0.011,0.038,0.041,3.499999999999950
"Dubois",22,3265,0.033,0.079,0.079,2.357798165137590
"SSA","2670-130",3529,0.086,0.110,0.142,1.281456953642350
"Dubois",26,3641,0.035,0.044,0.045,1.275590551181120
"Dubois",23,4668,0.064,0.066,0.066,1.026755852842810
"Dubois",21,4824,0.027,0.028,0.028,1.045801526717580
"Dubois",27,5257,0.001,0.010,0.011,13.749999999994400
"Pret","150_25",5311,0.010,0.018,0.018,1.727272727272720
"Pret","150_40",5311,0.010,0.018,0.018,1.727272727272720
"Pret","150_60",5311,0.010,0.018,0.018,1.727272727272720
"Pret"," 150_75",5311,0.010,0.018,0.018,1.727272727272720
"SSA","2670-141",6402,0.016,0.118,0.119,7.278846153846300
"Dubois",29,9480,0.014,0.016,0.016,1.161538461538490
"BF","0432-007 ",11061,0.072,0.190,0.225,2.627500000000000
"Dubois",50,20143,0.093,0.190,0.190,2.042178323545160
"SoftwareVerification/Babic","dspam_dump_vc972",956,0.004,0.028,0.046,6.714285714285710
"SoftwareVerification/Nec","11-U-7061",1706,0.014,0.071,0.071,5.028368794326240
