"Benchmark","Proof","Length","LU(p)","RP(p)","RPI(p)","RPI(LU(p))","LU(RPI(p))"
"AIM","50-2_0-no-4",48,0.063,0.063,0.063,0.104,0.104
"AIM","50-1_6-no-4",49,0.102,0.041,0.102,0.163,0.163
"AIM","100-2_0-no-1",49,0.143,0.041,0.163,0.245,0.245
"SSA","6288-047",51,0.039,0.000,0.000,0.039,0.039
"AIM","50-2_0-no-1",59,0.068,0.034,0.136,0.169,0.153
"AIM","50-1_6-no-1",61,0.082,0.115,0.115,0.213,0.180
"AIM","50-2_0-no-2",67,0.060,0.030,0.030,0.075,0.075
"AIM","50-1_6-no-3",68,0.044,0.015,0.015,0.103,0.059
"AIM","100-2_0-no-3",70,0.086,0.071,0.171,0.229,0.229
"AIM","50-1_6-no-2",89,0.045,0.090,0.090,0.135,0.135
"AIM","100-2_0-no-4",89,0.045,0.000,0.000,0.045,0.045
"AIM","50-2_0-no-3",94,0.064,0.064,0.149,0.106,0.191
"AIM","200-2_0-no-3",95,0.084,0.021,0.042,0.105,0.084
"AIM","100-2_0-no-2",105,0.048,0.019,0.019,0.067,0.067
"AIM","200-2_0-no-4",108,0.037,0.028,0.120,0.056,0.139
"AIM","200-1_6-no-4",111,0.036,0.018,0.045,0.045,0.072
"AIM","100-1_6-no-4",115,0.017,0.026,0.078,0.096,0.096
"AIM","100-1_6-no-1",119,0.067,0.042,0.092,0.143,0.143
"AIM","200-2_0-no-2",123,0.041,0.024,0.089,0.057,0.122
"AIM","100-1_6-no-3",144,0.014,0.007,0.007,0.021,0.021
"AIM","200-2_0-no-1",146,0.034,0.027,0.068,0.096,0.096
"AIM","100-1_6-no-2",151,0.046,0.205,0.205,0.046,0.238
"AIM","200-1_6-no-1",151,0.026,0.099,0.199,0.225,0.225
"AIM","200-1_6-no-2",208,0.043,0.034,0.034,0.067,0.067
"AIM","200-1_6-no-3",263,0.038,0.228,0.240,0.316,0.266
"BF","2670-001",370,0.016,0.000,0.000,0.016,0.016
"BF","1355-638",460,0.046,0.000,0.000,0.046,0.046
"BF","1355-075",657,0.035,0.002,0.002,0.035,0.035
