"Benchmark","Proof","Length","LU(p)","RP(p)","RPI(p)","RPI(LU(p))","LU(RPI(p))"
"SoftwareVerification/Babic","dspam_dump_vc972",956,0.0293,0.004200,0.005200,0.046000,0.028200
"SoftwareVerification/Nec","11-U-7061",1706,0.0709,0.014100,0.014100,0.070900,0.070900
"SoftwareVerification/Nec","25-U-7061",2124,0.0598,0.044700,0.044700,0.092700,0.092700
"Manolios","c10ni_s",7995,0.0113,0.040400,0.043300,0.052500,0.051500
"SoftwareVerification/Nec","2-U-10652",17983,0.1464,0.024900,0.024900,0.168500,0.168500
"HardwareVerification/IBM",45,22856,0.0781,0.123800,0.128500,0.185300,0.143600
"SoftwareVerification/Nec","7-U-10652",114054,0.094,0.037600,0.044500,0.137500,0.055300
"Manolios","c8idw_s",122397,0.0325,0.032100,0.044500,0.061800,0.059800
"SoftwareVerification/Nec","0-U-7061",192641,0.0498,0.113600,0.211100,0.240200,0.212700
"Manolios","f6bid",202853,0.0599,0.121700,0.181100,0.218000,0.182700
"SoftwareVerification/Nec","13-U-9007",230723,0.226,0.247300,0.326100,0.394200,0.327600
"HardwareVerification/IBM",100,637356,0.0221,0.144000,0.268600,0.277500,0.268600
